symbol,operation,N
window.Storage.getItem,call,4254
window.Storage.setItem,call,1698
window.Storage.removeItem,call,1224
CanvasRenderingContext2D.fillText,call,224
HTMLCanvasElement.getContext,call,171
window.Storage.key,call,110
CanvasRenderingContext2D.measureText,call,60
CanvasRenderingContext2D.createRadialGradient,call,59
HTMLCanvasElement.toDataURL,call,51
CanvasRenderingContext2D.fillRect,call,46
window.Storage.hasOwnProperty,call,33
CanvasRenderingContext2D.fill,call,31
CanvasRenderingContext2D.arc,call,22
CanvasRenderingContext2D.getImageData,call,20
CanvasRenderingContext2D.createImageData,call,17
CanvasRenderingContext2D.putImageData,call,17
CanvasRenderingContext2D.bezierCurveTo,call,12
CanvasRenderingContext2D.rect,call,10
CanvasRenderingContext2D.stroke,call,9
CanvasRenderingContext2D.createLinearGradient,call,9
CanvasRenderingContext2D.save,call,8
CanvasRenderingContext2D.restore,call,8
HTMLCanvasElement.getAttribute,call,7
HTMLCanvasElement.addEventListener,call,6
RTCPeerConnection.createDataChannel,call,4
RTCPeerConnection.createOffer,call,4
RTCPeerConnection.setLocalDescription,call,4
CanvasRenderingContext2D.isPointInPath,call,3
CanvasRenderingContext2D.clip,call,2
window.Storage.clear,call,1
HTMLCanvasElement.getBoundingClientRect,call,1
AudioContext.createOscillator,call,1
window.document.cookie,get,13490
window.navigator.userAgent,get,6738
window.localStorage,get,4067
window.sessionStorage,get,1481
window.name,get,1224
window.navigator.plugins[Shockwave Flash].description,get,852
window.screen.colorDepth,get,721
window.navigator.appName,get,588
window.navigator.language,get,557
window.navigator.platform,get,529
window.navigator.plugins[Shockwave Flash].name,get,483
window.navigator.cookieEnabled,get,352
window.navigator.appVersion,get,283
window.navigator.vendor,get,256
HTMLCanvasElement.offsetWidth,get,173
HTMLCanvasElement.offsetHeight,get,173
HTMLCanvasElement.offsetTop,get,171
HTMLCanvasElement.offsetLeft,get,171
window.navigator.doNotTrack,get,153
window.navigator.product,get,139
window.navigator.plugins[Shockwave Flash].filename,get,135
window.Storage.length,get,122
window.navigator.mimeTypes[application/x-shockwave-flash].type,get,117
window.navigator.languages,get,102
window.screen.pixelDepth,get,85
window.navigator.plugins[Shockwave Flash].version,get,75
window.navigator.plugins[Shockwave Flash].length,get,69
window.navigator.mimeTypes[application/futuresplash].type,get,66
window.navigator.mimeTypes[application/x-shockwave-flash].suffixes,get,43
window.navigator.mimeTypes[application/futuresplash].suffixes,get,43
window.navigator.productSub,get,41
window.navigator.mimeTypes[application/x-shockwave-flash].description,get,38
window.navigator.mimeTypes[application/futuresplash].description,get,38
window.navigator.oscpu,get,34
window.navigator.onLine,get,32
window.navigator.geolocation,get,32
HTMLCanvasElement.style,get,31
HTMLCanvasElement.height,get,31
window.navigator.appCodeName,get,28
HTMLCanvasElement.width,get,28
window.navigator.buildID,get,20
window.navigator.vendorSub,get,19
RTCPeerConnection.localDescription,get,6
RTCPeerConnection.remoteDescription,get,6
RTCPeerConnection.signalingState,get,6
RTCPeerConnection.iceGatheringState,get,6
RTCPeerConnection.onicecandidate,get,6
HTMLCanvasElement.nodeName,get,4
RTCPeerConnection.idpLoginUrl,get,3
RTCPeerConnection.peerIdentity,get,3
RTCPeerConnection.onremovestream,get,3
HTMLCanvasElement.nodeType,get,3
HTMLCanvasElement.className,get,3
HTMLCanvasElement.tagName,get,2
HTMLCanvasElement.firstElementChild,get,2
HTMLCanvasElement.firstChild,get,2
HTMLCanvasElement.nextElementSibling,get,2
OscillatorNode.frequency,get,2
CanvasRenderingContext2D.globalCompositeOperation,get,1
HTMLCanvasElement.parentNode,get,1
HTMLCanvasElement.clientTop,get,1
HTMLCanvasElement.clientLeft,get,1
HTMLCanvasElement.localName,get,1
HTMLCanvasElement.attributes,get,1
HTMLCanvasElement.childNodes,get,1
window.document.cookie,set,3653
window.name,set,204
CanvasRenderingContext2D.fillStyle,set,163
CanvasRenderingContext2D.font,set,161
HTMLCanvasElement.height,set,47
HTMLCanvasElement.width,set,47
CanvasRenderingContext2D.textBaseline,set,36
CanvasRenderingContext2D.shadowColor,set,20
CanvasRenderingContext2D.shadowBlur,set,20
CanvasRenderingContext2D.shadowOffsetX,set,20
CanvasRenderingContext2D.shadowOffsetY,set,20
CanvasRenderingContext2D.strokeStyle,set,15
CanvasRenderingContext2D.lineWidth,set,14
CanvasRenderingContext2D.globalCompositeOperation,set,13
RTCPeerConnection.onicecandidate,set,8
HTMLCanvasElement.requestPointerLock,set,1
CanvasRenderingContext2D.lineJoin,set,1
